gridno,date,latitude,longitude,altitude (m),temp max (°C),temp min (°C),temp avg (°C),wind speed (m/s),vapor pressure (kPa),precipitation (mm),E0 (mm/day),ES0 (mm/day),ET0 (mm/day),radiation (kJ/m2/day),snow depth (cm)
101096,1975-01-01,50.72749,5.27314,128,7.50,5.30,6.40,3.50,0.902,1.70,0.19,0.16,0.35,1231,
101096,1975-01-02,50.72749,5.27314,128,7.30,2.60,5.00,1.30,0.792,0.00,0.12,0.10,0.22,1998,
101096,1975-01-03,50.72749,5.27314,128,5.70,0.60,3.10,2.40,0.678,0.00,0.21,0.18,0.40,1316,
101096,1975-01-04,50.72749,5.27314,128,5.30,0.90,3.10,4.30,0.712,0.00,0.24,0.21,0.31,1654,
101096,1975-01-05,50.72749,5.27314,128,7.00,3.40,5.20,6.10,0.842,0.00,0.17,0.15,0.38,885,
101096,1975-01-06,50.72749,5.27314,128,9.20,5.50,7.30,7.20,0.946,0.60,0.28,0.27,0.55,810,
101096,1975-01-07,50.72749,5.27314,128,7.80,4.50,6.10,4.10,0.892,5.30,0.16,0.13,0.32,1469,
101096,1975-01-08,50.72749,5.27314,128,6.70,2.20,4.50,2.90,0.722,5.70,0.01,0.00,0.34,3271,
101096,1975-01-09,50.72749,5.27314,128,7.40,0.70,4.10,4.70,0.755,0.20,0.21,0.19,0.46,1114,
101096,1975-01-10,50.72749,5.27314,128,8.30,5.40,6.80,4.20,0.759,0.10,0.74,0.71,0.92,1521,
101096,1975-01-11,50.72749,5.27314,128,8.60,4.00,6.30,5.70,0.819,0.00,0.44,0.41,0.70,1749,
101096,1975-01-12,50.72749,5.27314,128,10.00,5.20,7.60,6.10,0.832,0.00,0.50,0.42,0.86,3784,
101096,1975-01-13,50.72749,5.27314,128,10.40,5.60,8.00,6.60,0.872,0.00,0.13,0.06,0.80,4655,
101096,1975-01-14,50.72749,5.27314,128,12.70,6.60,9.60,8.90,0.752,0.00,1.47,1.37,2.14,4404,
101096,1975-01-15,50.72749,5.27314,128,14.60,9.50,12.00,9.00,0.846,0.00,2.38,2.31,2.64,3207,
101096,1975-01-16,50.72749,5.27314,128,13.70,9.20,11.50,9.50,0.949,0.00,2.20,2.16,2.16,1657,
101096,1975-01-17,50.72749,5.27314,128,10.60,5.50,8.00,7.90,0.849,1.00,1.01,0.97,1.23,1994,
101096,1975-01-18,50.72749,5.27314,128,9.70,3.00,6.30,4.60,0.819,5.50,0.20,0.16,0.65,2789,
101096,1975-01-19,50.72749,5.27314,128,7.30,2.60,5.00,3.70,0.772,0.80,0.29,0.25,0.46,2364,
101096,1975-01-20,50.72749,5.27314,128,6.70,1.00,3.80,6.50,0.652,0.00,0.34,0.25,0.71,4554,
101096,1975-01-21,50.72749,5.27314,128,6.00,2.90,4.40,6.40,0.732,0.50,0.26,0.21,0.58,2596,
