Date	Pot. evap	Max temp	Min temp
197501011200	0.35	7.5	5.3
197501021200	0.22	7.3	2.6
197501031200	0.4	5.7	0.6
197501041200	0.31	5.3	0.9
197501051200	0.38	7.0	3.4
197501061200	0.55	9.2	5.5
197501071200	0.32	7.8	4.5
197501081200	0.34	6.7	2.2
197501091200	0.46	7.4	0.7
197501101200	0.92	8.3	5.4
197501111200	0.7	8.6	4.0
197501121200	0.86	10.0	5.2
197501131200	0.8	10.4	5.6
197501141200	2.14	12.7	6.6
197501151200	2.64	14.6	9.5
197501161200	2.16	13.7	9.2
197501171200	1.23	10.6	5.5
197501181200	0.65	9.7	3.0
197501191200	0.46	7.3	2.6
197501201200	0.71	6.7	1.0
197501211200	0.58	6.0	2.9
197501221200	0.74	7.5	2.8
197501231200	0.98	8.4	4.0
197501241200	0.69	8.1	4.1
197501251200	1.11	10.2	4.6
197501261200	0.78	8.7	1.0
197501271200	0.81	10.2	2.1
197501281200	0.45	7.7	2.3
197501291200	0.58	7.1	2.4
197501301200	0.52	11.3	5.3
197501311200	0.96	12.0	7.3
197502011200	0.5	9.7	2.6
197502021200	0.4	8.6	2.8
197502031200	0.85	8.1	3.7
197502041200	0.94	6.4	0.3
197502051200	0.49	4.9	-2.3
197502061200	0.66	7.3	-1.1
197502071200	0.62	8.8	-2.1
197502081200	0.47	8.5	-2.5
197502091200	0.72	8.0	-2.1
197502101200	1.05	12.3	1.3
197502111200	1.01	12.1	5.4
197502121200	0.95	11.7	6.8
197502131200	0.83	8.7	4.4
197502141200	0.55	5.4	1.6
197502151200	0.47	3.7	-1.6
197502161200	0.92	4.7	-4.1
197502171200	1.13	6.7	-3.4
197502181200	0.34	7.2	3.2
197502191200	0.71	7.0	0.5
197502201200	0.8	6.7	-1.3
197502211200	1.42	8.7	-1.5
197502221200	1.08	9.2	-1.9
197502231200	0.91	10.5	1.0
197502241200	0.89	10.0	-0.5
197502251200	0.95	9.0	0.2
197502261200	1.31	9.9	-0.5
197502271200	1.57	10.9	-0.8
197502281200	1.31	12.6	-0.7
197503011200	1.68	13.8	1.2
197503021200	1.77	14.4	6.4
197503031200	1.45	13.4	6.5
