reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwidth_min,wwidth_q1,wwidth_q5,wwidth_q25,wwidth_q50,wwidth_avg,wwidth_q75,wwidth_q95,wwidth_q99,wwidth_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
1.000,0.021,0.027,0.030,0.034,0.040,0.048,0.052,0.096,0.148,0.296,0.243,0.255,0.259,0.269,0.281,0.297,0.304,0.392,0.495,0.793,24.232,36.636,41.510,53.197,70.183,112.624,108.629,322.178,718.023,2933.772,0.005,0.007,0.009,0.012,0.014,0.013,0.015,0.016,0.017,0.020,0.059,0.068,0.071,0.077,0.084,0.090,0.096,0.131,0.163,0.232
10.000,0.061,0.074,0.079,0.089,0.101,0.116,0.124,0.206,0.296,0.548,1.122,1.148,1.157,1.177,1.202,1.231,1.248,1.411,1.592,2.096,59.460,88.338,100.054,128.231,169.175,271.473,261.795,776.585,1730.578,7020.487,0.012,0.022,0.032,0.053,0.066,0.063,0.075,0.085,0.090,0.109,0.011,0.013,0.014,0.015,0.018,0.020,0.022,0.036,0.053,0.096
100.000,0.169,0.211,0.229,0.271,0.326,0.404,0.436,0.869,1.382,2.844,0.338,0.422,0.458,0.541,0.652,0.808,0.872,1.737,2.763,5.688,2988.030,4191.194,4733.096,6075.160,8010.556,12842.690,12396.494,36715.752,81739.290,327629.562,0.003,0.005,0.006,0.008,0.009,0.009,0.010,0.010,0.011,0.012,0.099,0.110,0.114,0.122,0.132,0.141,0.149,0.202,0.255,0.391
1000.000,0.037,0.046,0.049,0.057,0.067,0.080,0.086,0.156,0.246,0.717,0.273,0.292,0.299,0.314,0.334,0.360,0.371,0.512,0.693,1.633,27.510,40.660,45.999,58.979,77.806,124.806,120.375,357.176,795.301,3159.840,0.012,0.014,0.016,0.020,0.023,0.022,0.025,0.027,0.028,0.031,0.037,0.042,0.043,0.047,0.051,0.053,0.057,0.074,0.083,0.100
1001.000,0.046,0.059,0.063,0.074,0.089,0.119,0.118,0.265,0.594,1.882,0.292,0.317,0.327,0.348,0.378,0.438,0.437,0.729,1.388,3.964,27.633,40.661,46.000,58.984,77.818,124.807,120.443,358.082,795.910,3068.038,0.018,0.028,0.030,0.032,0.033,0.034,0.035,0.037,0.061,0.129,0.009,0.019,0.031,0.033,0.035,0.035,0.036,0.038,0.041,0.063
1002.000,0.264,0.307,0.326,0.369,0.423,0.491,0.525,0.901,1.344,2.647,0.727,0.815,0.853,0.938,1.047,1.182,1.251,2.002,2.889,5.495,33.425,48.223,54.496,69.915,92.247,147.509,142.797,420.546,929.208,3670.466,0.057,0.207,0.230,0.267,0.287,0.283,0.302,0.318,0.329,0.367,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.020
1003.000,0.265,0.308,0.327,0.370,0.424,0.492,0.526,0.903,1.346,2.650,0.729,0.816,0.854,0.940,1.049,1.184,1.253,2.005,2.893,5.500,34.167,48.348,54.586,69.964,92.411,147.508,143.031,417.785,925.328,3891.700,0.081,0.215,0.237,0.268,0.287,0.283,0.302,0.317,0.326,0.508,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.014
1004.000,0.265,0.309,0.328,0.371,0.425,0.493,0.527,0.904,1.349,2.653,0.731,0.818,0.856,0.941,1.050,1.186,1.255,2.008,2.897,5.505,40.120,55.792,63.036,80.777,106.656,170.190,164.743,479.766,1071.661,4623.732,0.102,0.180,0.203,0.234,0.250,0.246,0.262,0.275,0.284,1.230,0.001,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.011
1005.000,0.265,0.309,0.328,0.371,0.425,0.493,0.528,0.905,1.351,2.655,0.730,0.818,0.856,0.942,1.051,1.186,1.256,2.010,2.901,5.510,-395.834,55.703,63.003,80.728,106.354,170.190,163.065,480.269,1089.199,4903.079,-12.004,0.168,0.196,0.234,0.252,0.249,0.264,0.278,0.321,34.166,-0.006,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.007,0.011
1006.000,0.265,0.309,0.328,0.371,0.425,0.493,0.528,0.906,1.352,2.657,0.730,0.818,0.856,0.942,1.051,1.187,1.256,2.012,2.904,5.514,-694.373,62.896,71.365,91.436,120.178,192.899,184.171,544.668,1245.366,5650.844,-111.230,0.145,0.170,0.206,0.222,0.222,0.234,0.248,0.314,390.934,-0.013,0.004,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.012
1007.000,0.264,0.308,0.327,0.370,0.425,0.493,0.528,0.906,1.353,2.659,0.728,0.816,0.854,0.941,1.050,1.186,1.256,2.013,2.905,5.517,-974.223,62.482,71.250,91.139,119.707,192.902,183.620,545.686,1257.655,5777.520,-90.461,0.100,0.119,0.146,0.158,0.156,0.167,0.179,0.248,163.549,-0.015,0.003,0.005,0.005,0.005,0.005,0.006,0.007,0.008,0.013
1008.000,0.039,0.049,0.053,0.061,0.072,0.085,0.092,0.165,0.248,0.483,0.277,0.298,0.306,0.322,0.343,0.369,0.383,0.530,0.696,1.166,29.336,44.291,50.180,64.309,84.840,136.143,131.301,389.416,868.254,3537.250,0.009,0.013,0.015,0.020,0.023,0.022,0.025,0.027,0.028,0.031,0.037,0.042,0.044,0.047,0.051,0.054,0.057,0.075,0.091,0.125
1009.000,0.073,0.091,0.097,0.111,0.129,0.148,0.161,0.273,0.392,0.715,0.345,0.382,0.395,0.422,0.457,0.497,0.522,0.745,0.985,1.629,58.799,88.595,100.361,128.617,169.683,272.288,262.607,779.080,1735.778,7057.844,0.009,0.013,0.017,0.022,0.025,0.024,0.027,0.029,0.030,0.034,0.035,0.039,0.040,0.043,0.047,0.050,0.053,0.070,0.087,0.126
101.000,0.235,0.283,0.303,0.350,0.410,0.489,0.527,0.966,1.473,2.915,0.469,0.566,0.607,0.700,0.821,0.979,1.055,1.933,2.946,5.829,3025.669,4235.864,4783.281,6139.716,8095.816,12979.613,12527.223,37108.729,82546.798,331031.812,0.003,0.005,0.006,0.010,0.011,0.011,0.012,0.014,0.014,0.016,0.071,0.081,0.085,0.094,0.104,0.114,0.122,0.180,0.238,0.382
1010.000,0.061,0.077,0.082,0.095,0.110,0.129,0.139,0.243,0.356,0.667,0.322,0.354,0.365,0.389,0.420,0.457,0.479,0.685,0.912,1.533,58.985,88.600,100.361,128.617,169.695,272.286,262.604,779.132,1734.765,7038.905,0.008,0.011,0.014,0.018,0.020,0.020,0.022,0.023,0.024,0.027,0.043,0.048,0.050,0.054,0.058,0.061,0.065,0.084,0.102,0.142
1011.000,0.094,0.116,0.124,0.140,0.161,0.184,0.199,0.328,0.462,0.813,0.387,0.432,0.447,0.481,0.522,0.567,0.598,0.856,1.124,1.825,64.176,95.984,108.724,139.336,183.830,295.017,284.505,844.330,1880.401,7617.178,0.011,0.016,0.020,0.028,0.032,0.031,0.034,0.037,0.038,0.043,0.027,0.030,0.032,0.034,0.037,0.039,0.042,0.057,0.071,0.108
1012.000,0.059,0.074,0.079,0.091,0.106,0.124,0.135,0.236,0.348,0.657,0.317,0.348,0.358,0.382,0.413,0.449,0.469,0.672,0.895,1.514,69.223,103.372,117.087,150.054,197.969,317.713,306.366,908.741,2025.167,8210.734,0.007,0.009,0.011,0.015,0.016,0.016,0.018,0.019,0.020,0.022,0.053,0.060,0.062,0.066,0.071,0.075,0.079,0.103,0.124,0.170
1013.000,0.182,0.214,0.225,0.248,0.277,0.306,0.328,0.492,0.655,1.063,0.564,0.628,0.650,0.697,0.754,0.811,0.857,1.184,1.510,2.327,74.695,110.780,125.451,160.786,212.132,340.366,328.298,974.266,2169.156,8802.990,0.015,0.026,0.035,0.053,0.062,0.060,0.069,0.076,0.080,0.093,0.013,0.015,0.015,0.017,0.019,0.021,0.022,0.033,0.045,0.076
1014.000,0.055,0.069,0.074,0.086,0.100,0.117,0.127,0.223,0.329,0.622,0.310,0.339,0.349,0.371,0.400,0.434,0.454,0.646,0.857,1.444,74.661,110.762,125.451,160.787,212.121,340.366,328.306,974.392,2167.801,8803.558,0.006,0.008,0.010,0.013,0.014,0.014,0.015,0.016,0.017,0.019,0.062,0.069,0.071,0.076,0.082,0.087,0.092,0.120,0.145,0.200
1015.000,0.190,0.222,0.234,0.258,0.288,0.317,0.341,0.510,0.678,1.095,0.579,0.645,0.668,0.717,0.776,0.835,0.882,1.220,1.556,2.389,80.277,118.173,133.814,171.524,226.291,363.172,350.171,1038.381,2314.204,9368.101,0.015,0.026,0.035,0.053,0.062,0.060,0.069,0.076,0.080,0.092,0.013,0.015,0.015,0.017,0.019,0.021,0.022,0.033,0.045,0.077
1016.000,0.051,0.064,0.069,0.079,0.093,0.109,0.118,0.208,0.308,0.585,0.303,0.329,0.338,0.359,0.386,0.418,0.436,0.616,0.816,1.370,80.311,118.171,133.814,171.516,226.278,363.170,350.196,1038.478,2313.927,9366.238,0.005,0.007,0.008,0.011,0.012,0.012,0.013,0.014,0.014,0.016,0.072,0.081,0.084,0.090,0.097,0.102,0.109,0.142,0.172,0.237
1017.000,0.197,0.230,0.242,0.267,0.298,0.329,0.353,0.533,0.715,1.182,0.594,0.660,0.684,0.734,0.796,0.859,0.906,1.265,1.629,2.565,100.940,147.814,167.268,214.442,282.894,453.883,437.722,1298.046,2891.956,11684.351,0.014,0.023,0.030,0.045,0.052,0.051,0.058,0.064,0.067,0.077,0.015,0.017,0.018,0.020,0.022,0.024,0.026,0.039,0.051,0.083
1018.000,0.095,0.118,0.126,0.143,0.166,0.191,0.207,0.351,0.507,0.932,0.389,0.435,0.451,0.487,0.532,0.583,0.614,0.902,1.214,2.065,203.576,303.015,342.899,439.611,579.906,930.234,897.362,2660.564,5924.892,23995.037,0.004,0.006,0.007,0.009,0.010,0.010,0.011,0.012,0.012,0.014,0.085,0.094,0.097,0.104,0.111,0.117,0.124,0.160,0.192,0.264
1019.000,0.268,0.313,0.328,0.361,0.401,0.441,0.472,0.701,0.930,1.505,0.737,0.826,0.857,0.923,1.003,1.082,1.145,1.602,2.059,3.211,209.712,310.436,351.262,450.356,594.154,953.155,919.262,2726.330,6071.123,24548.125,0.010,0.017,0.023,0.035,0.041,0.039,0.045,0.049,0.052,0.060,0.019,0.022,0.024,0.026,0.029,0.032,0.034,0.050,0.067,0.111
102.000,0.189,0.238,0.258,0.304,0.364,0.441,0.479,0.906,1.398,2.807,0.379,0.475,0.515,0.608,0.728,0.881,0.958,1.813,2.796,5.613,3024.664,4236.152,4783.281,6139.289,8095.872,12979.561,12527.137,37118.503,82536.424,331047.906,0.003,0.005,0.006,0.009,0.010,0.009,0.011,0.011,0.012,0.013,0.089,0.098,0.101,0.109,0.119,0.129,0.136,0.194,0.254,0.403
1020.000,0.125,0.153,0.163,0.185,0.212,0.241,0.261,0.429,0.606,1.072,0.450,0.506,0.526,0.570,0.624,0.683,0.723,1.059,1.411,2.344,210.188,310.426,351.262,450.349,594.083,953.154,919.376,2727.846,6068.997,24526.629,0.006,0.008,0.010,0.013,0.015,0.014,0.016,0.017,0.017,0.019,0.060,0.067,0.069,0.074,0.079,0.084,0.089,0.117,0.145,0.209
1021.000,0.099,0.122,0.131,0.149,0.172,0.197,0.214,0.359,0.515,0.934,0.398,0.445,0.461,0.498,0.543,0.595,0.628,0.918,1.230,2.068,220.279,325.240,367.989,471.809,622.378,998.436,963.028,2857.482,6358.696,25686.658,0.004,0.006,0.007,0.009,0.010,0.010,0.011,0.012,0.012,0.013,0.086,0.096,0.099,0.106,0.113,0.120,0.127,0.165,0.201,0.282
1022.000,0.119,0.146,0.156,0.177,0.203,0.231,0.251,0.414,0.585,1.037,0.438,0.492,0.511,0.553,0.606,0.663,0.701,1.027,1.371,2.274,220.724,325.219,367.989,471.801,622.396,998.432,963.003,2857.181,6359.371,25666.545,0.005,0.007,0.009,0.012,0.013,0.013,0.014,0.015,0.016,0.017,0.067,0.075,0.077,0.082,0.089,0.094,0.099,0.131,0.161,0.233
1023.000,0.102,0.126,0.134,0.153,0.176,0.202,0.219,0.368,0.528,0.965,0.404,0.452,0.469,0.506,0.553,0.605,0.639,0.936,1.255,2.130,260.055,384.367,434.896,557.606,735.525,1180.062,1138.364,3376.872,7515.148,30357.201,0.004,0.005,0.006,0.008,0.009,0.009,0.010,0.010,0.011,0.012,0.098,0.109,0.113,0.120,0.129,0.136,0.144,0.188,0.228,0.315
1024.000,0.123,0.151,0.162,0.184,0.211,0.242,0.262,0.438,0.634,1.241,0.447,0.503,0.523,0.567,0.622,0.685,0.724,1.077,1.468,2.682,265.402,391.764,443.259,568.327,749.695,1202.894,1159.966,3441.208,7663.619,30907.400,0.006,0.007,0.008,0.010,0.012,0.011,0.012,0.013,0.014,0.015,0.077,0.086,0.088,0.094,0.100,0.106,0.112,0.143,0.168,0.211
1025.000,0.167,0.205,0.218,0.248,0.287,0.333,0.358,0.617,0.933,2.028,0.533,0.609,0.637,0.697,0.773,0.867,0.915,1.434,2.067,4.256,266.165,391.684,443.261,568.349,749.756,1202.893,1160.274,3439.394,7662.300,30822.635,0.011,0.014,0.015,0.017,0.019,0.018,0.020,0.021,0.021,0.023,0.051,0.055,0.056,0.059,0.063,0.064,0.068,0.079,0.086,0.106
1026.000,0.372,0.431,0.452,0.498,0.555,0.620,0.659,1.020,1.433,2.670,0.945,1.062,1.104,1.197,1.311,1.439,1.519,2.239,3.066,5.540,272.524,399.261,451.646,579.187,764.028,1225.362,1182.612,3508.283,7795.153,31303.150,0.020,0.029,0.036,0.048,0.055,0.053,0.060,0.065,0.068,0.078,0.015,0.017,0.018,0.019,0.021,0.023,0.024,0.033,0.040,0.057
1027.000,0.356,0.412,0.432,0.477,0.532,0.596,0.634,0.992,1.410,2.657,0.912,1.023,1.064,1.154,1.265,1.393,1.469,2.184,3.019,5.514,272.782,399.426,451.668,579.269,764.267,1225.359,1182.574,3507.127,7795.489,31201.799,0.020,0.028,0.034,0.045,0.051,0.050,0.056,0.060,0.063,0.073,0.016,0.018,0.019,0.021,0.023,0.024,0.026,0.034,0.041,0.058
1028.000,0.334,0.386,0.405,0.449,0.503,0.567,0.602,0.960,1.383,2.643,0.867,0.971,1.011,1.097,1.205,1.334,1.405,2.121,2.966,5.487,300.933,436.462,493.530,633.064,835.154,1338.762,1292.850,3831.631,8501.233,33945.266,0.013,0.018,0.021,0.027,0.031,0.030,0.034,0.036,0.038,0.043,0.020,0.022,0.023,0.025,0.027,0.029,0.031,0.040,0.047,0.066
1029.000,0.015,0.020,0.021,0.025,0.029,0.035,0.038,0.071,0.111,0.229,0.231,0.240,0.243,0.249,0.258,0.270,0.276,0.342,0.421,0.658,9.775,14.762,16.727,21.436,28.280,45.396,43.770,129.804,289.377,1180.582,0.008,0.012,0.015,0.021,0.024,0.023,0.026,0.028,0.029,0.034,0.034,0.039,0.041,0.045,0.049,0.053,0.057,0.079,0.098,0.140
103.000,0.307,0.362,0.384,0.433,0.495,0.570,0.611,1.030,1.506,2.881,0.615,0.723,0.767,0.866,0.990,1.139,1.222,2.059,3.013,5.761,3108.577,4338.790,4898.529,6287.798,8290.547,13290.377,12828.603,38009.500,84507.930,338832.562,0.003,0.005,0.007,0.011,0.013,0.013,0.015,0.017,0.018,0.021,0.055,0.064,0.068,0.076,0.087,0.098,0.106,0.171,0.237,0.398
1030.000,0.021,0.026,0.028,0.033,0.039,0.047,0.051,0.095,0.149,0.309,0.241,0.253,0.257,0.266,0.278,0.294,0.301,0.391,0.498,0.819,14.692,22.147,25.090,32.154,42.420,68.072,65.649,194.788,434.240,1764.834,0.009,0.012,0.014,0.019,0.022,0.021,0.024,0.026,0.027,0.031,0.038,0.043,0.045,0.049,0.053,0.056,0.060,0.080,0.097,0.130
1031.000,0.181,0.214,0.226,0.251,0.282,0.312,0.336,0.511,0.686,1.123,0.561,0.629,0.652,0.702,0.763,0.824,0.872,1.222,1.572,2.446,49.497,73.888,83.634,107.210,141.442,226.939,218.892,649.619,1445.723,5863.090,0.025,0.042,0.056,0.082,0.096,0.092,0.106,0.115,0.120,0.139,0.008,0.010,0.010,0.011,0.012,0.013,0.014,0.021,0.028,0.046
1032.000,0.172,0.204,0.215,0.239,0.268,0.297,0.320,0.487,0.654,1.072,0.543,0.607,0.629,0.677,0.735,0.793,0.839,1.173,1.507,2.343,59.869,88.677,100.361,128.672,169.752,272.289,262.677,778.738,1735.253,7022.782,0.019,0.032,0.043,0.063,0.074,0.071,0.081,0.089,0.093,0.107,0.011,0.013,0.013,0.014,0.016,0.017,0.018,0.027,0.036,0.060
1033.000,0.169,0.198,0.208,0.230,0.256,0.283,0.304,0.455,0.607,0.986,0.539,0.596,0.617,0.660,0.713,0.766,0.807,1.110,1.414,2.172,60.463,88.720,100.361,128.680,169.760,272.290,262.671,779.378,1734.005,7006.977,0.017,0.028,0.038,0.058,0.069,0.066,0.077,0.085,0.089,0.104,0.011,0.013,0.014,0.015,0.017,0.019,0.020,0.030,0.041,0.070
1034.000,0.054,0.067,0.072,0.083,0.097,0.113,0.123,0.216,0.318,0.602,0.307,0.334,0.344,0.366,0.393,0.427,0.445,0.631,0.837,1.404,84.965,125.683,142.178,182.286,240.495,385.821,372.112,1103.568,2457.685,9942.961,0.005,0.007,0.008,0.011,0.012,0.012,0.013,0.014,0.014,0.016,0.073,0.082,0.084,0.090,0.097,0.103,0.109,0.143,0.173,0.240
1035.000,0.193,0.225,0.237,0.261,0.290,0.320,0.343,0.512,0.682,1.108,0.586,0.651,0.673,0.722,0.781,0.840,0.886,1.225,1.564,2.415,85.684,125.700,142.178,182.301,240.498,385.823,372.119,1103.579,2457.632,9923.380,0.015,0.024,0.033,0.050,0.059,0.057,0.066,0.073,0.076,0.089,0.013,0.015,0.016,0.018,0.020,0.022,0.023,0.035,0.047,0.080
1036.000,0.071,0.088,0.094,0.108,0.125,0.145,0.157,0.270,0.392,0.729,0.342,0.376,0.388,0.415,0.450,0.490,0.514,0.739,0.984,1.658,90.770,133.091,150.541,193.024,254.640,408.512,394.020,1167.962,2601.452,10500.604,0.006,0.009,0.011,0.014,0.016,0.015,0.017,0.018,0.019,0.021,0.055,0.061,0.063,0.068,0.073,0.077,0.082,0.107,0.130,0.181
1037.000,0.077,0.095,0.101,0.116,0.135,0.156,0.169,0.289,0.421,0.824,0.354,0.390,0.403,0.432,0.469,0.512,0.538,0.778,1.041,1.848,90.791,133.079,150.541,193.050,254.650,408.514,394.014,1167.927,2600.320,10503.562,0.008,0.010,0.012,0.016,0.018,0.017,0.019,0.020,0.021,0.023,0.050,0.055,0.057,0.061,0.066,0.070,0.074,0.096,0.116,0.151
1038.000,0.077,0.095,0.102,0.117,0.136,0.161,0.173,0.307,0.473,1.154,0.353,0.390,0.404,0.434,0.472,0.522,0.545,0.814,1.146,2.509,90.804,133.095,150.541,193.035,254.654,408.512,394.043,1168.370,2600.553,10477.353,0.010,0.012,0.013,0.016,0.018,0.018,0.019,0.020,0.021,0.023,0.050,0.055,0.057,0.061,0.065,0.067,0.071,0.087,0.095,0.114
1039.000,0.150,0.184,0.197,0.226,0.265,0.318,0.339,0.631,0.993,2.109,0.499,0.568,0.594,0.653,0.729,0.835,0.878,1.463,2.185,4.417,93.898,136.824,154.734,198.461,261.836,419.777,405.224,1201.686,2667.853,10676.898,0.026,0.037,0.042,0.046,0.047,0.047,0.049,0.051,0.052,0.064,0.018,0.022,0.023,0.024,0.025,0.025,0.025,0.028,0.031,0.045
104.000,0.285,0.336,0.357,0.403,0.461,0.532,0.570,0.964,1.416,2.742,0.571,0.672,0.714,0.806,0.923,1.063,1.140,1.928,2.832,5.484,3109.686,4338.774,4898.535,6287.607,8291.727,13290.462,12830.395,38011.368,84481.063,338844.531,0.003,0.005,0.006,0.010,0.012,0.012,0.014,0.016,0.017,0.020,0.059,0.069,0.073,0.082,0.094,0.106,0.114,0.185,0.256,0.426
1040.000,0.205,0.244,0.259,0.295,0.340,0.398,0.427,0.749,1.127,2.252,0.610,0.687,0.718,0.789,0.880,0.997,1.054,1.698,2.454,4.704,94.284,136.905,154.766,198.562,261.980,419.779,405.688,1200.910,2662.206,10589.791,0.032,0.050,0.058,0.066,0.070,0.070,0.074,0.078,0.080,0.096,0.012,0.014,0.015,0.016,0.016,0.017,0.018,0.020,0.023,0.037
1041.000,0.180,0.218,0.234,0.272,0.320,0.380,0.411,0.743,1.125,2.254,1.359,1.436,1.469,1.545,1.641,1.760,1.823,2.485,3.250,5.507,98.119,140.888,159.136,204.213,269.381,431.161,417.198,1229.336,2727.519,10731.186,0.030,0.051,0.061,0.082,0.093,0.090,0.101,0.108,0.113,0.128,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.011,0.013,0.023
1042.000,0.008,0.010,0.011,0.013,0.016,0.020,0.021,0.042,0.076,0.577,0.216,0.221,0.222,0.226,0.231,0.240,0.241,0.285,0.352,1.353,2.452,3.692,4.182,5.359,7.070,11.349,10.943,32.477,72.394,286.778,0.023,0.029,0.032,0.041,0.047,0.046,0.052,0.056,0.059,0.166,0.007,0.020,0.021,0.022,0.025,0.026,0.028,0.036,0.040,0.050
