,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwidth_min,wwidth_q1,wwidth_q5,wwidth_q25,wwidth_q50,wwidth_q75,wwidth_q95,wwidth_q99,wwidth_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
count,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,Catchment
mean,0.1229498657117279,0.14667681289167434,0.155997314234557,0.17673142345568466,0.20295792300805743,0.2522614145031335,0.43301969561324977,0.6445407341092203,1.2818236347359002,0.7978128916741275,0.8453375111906889,0.8638773500447614,0.9054010743061769,0.9578397493285588,1.056471799462847,1.41794538943599,1.8410062667860347,3.115543419874666,0.049572068039391244,0.05834198746642798,0.061259623992838054,0.06730707251566694,0.07454700089525512,0.0873777976723367,0.1280098478066247,0.1672605192479856,0.2600841539838853,-inf,-3713.277640107431,-1.0066947179946304,-0.01532139659803049,0.1287260519247988,0.3128737690241717,10.962089525514797,inf,inf,Catchment
std,0.0935803240761294,0.10865139549604642,0.11480594111213924,0.12858140186647082,0.14576544048616827,0.17763343126308884,0.29090706858170917,0.42065775576826253,0.7976061261597065,0.8091144169339013,0.816505959477491,0.8202636575628716,0.8294425873211038,0.8420869111165268,0.8689267833392963,0.9934474981612404,1.176143269378379,1.8221042861754768,0.055378086647655284,0.06152830569859395,0.06427603937310464,0.07048595829892794,0.07811203459413016,0.09178704983475419,0.13628047616039388,0.18093674806431256,0.2895135335381154,,123790.50455348312,11.601153667329456,0.7517151008515309,0.7435711250950843,2.636521529113311,143.6867199416825,,,Catchment
min,0.001,0.003,0.005,0.006999999999999999,0.008,0.01,0.02,0.032,0.07200000000000001,0.031,0.039,0.042,0.049,0.057999999999999996,0.075,0.146,0.24,0.344,-0.043,-0.005,-0.001,-0.0,0.0,0.0,0.0,0.0,0.001,-inf,-4137278.215,-204.419,-11.275,0.0,0.0,0.0,0.0,0.0,Catchment
1%,0.008,0.01,0.011000000000000001,0.013000000000000001,0.015,0.02016,0.03816,0.06215999999999999,0.14279999999999998,0.04916,0.06215999999999999,0.06632,0.07732,0.09132,0.11864,0.22876,0.31132000000000004,0.5191600000000001,-0.018840000000000003,-0.001,0.0,-0.0,0.0,0.001,0.001,0.001,0.004,-79430.9126,-21.596519999999998,-2.73832,0.0,0.003,0.003,0.003,0.004,0.004,Catchment
5%,0.013999999999999999,0.018000000000000002,0.019,0.022000000000000002,0.026000000000000002,0.034,0.066,0.1068,0.2358,0.1662,0.20199999999999999,0.2118,0.2228,0.23199999999999998,0.252,0.3292,0.4202,0.7362,-0.003,0.003,0.003,0.003,0.004,0.004,0.005000000000000001,0.005000000000000001,0.011800000000000005,-39.39059999999999,0.002,0.002,0.004,0.005000000000000001,0.005000000000000001,0.006,0.006,0.006999999999999999,Catchment
25%,0.039,0.049,0.053,0.061,0.07200000000000001,0.094,0.172,0.268,0.575,0.292,0.322,0.33299999999999996,0.35600000000000004,0.389,0.442,0.6859999999999999,0.971,1.633,0.013999999999999999,0.019,0.02,0.022000000000000002,0.024,0.027000000000000003,0.039,0.05,0.079,0.003,0.005,0.006,0.009000000000000001,0.011000000000000001,0.012,0.013000000000000001,0.013999999999999999,0.016,Catchment
50%,0.098,0.11900000000000001,0.127,0.145,0.168,0.212,0.368,0.5760000000000001,1.1540000000000001,0.509,0.589,0.617,0.68,0.752,0.904,1.239,1.6059999999999999,2.745,0.037000000000000005,0.043,0.045,0.049,0.054000000000000006,0.064,0.096,0.124,0.187,0.005,0.008,0.011000000000000001,0.016,0.02,0.022000000000000002,0.024,0.025,0.03,Catchment
75%,0.192,0.23,0.244,0.278,0.318,0.389,0.6559999999999999,0.978,1.867,1.071,1.097,1.1059999999999999,1.135,1.171,1.275,1.796,2.483,4.373,0.068,0.078,0.08199999999999999,0.09,0.1,0.11699999999999999,0.17300000000000001,0.23,0.353,0.01,0.018000000000000002,0.024,0.035,0.044000000000000004,0.048,0.052000000000000005,0.055,0.071,Catchment
95%,0.2932,0.34299999999999997,0.364,0.41020000000000006,0.4694000000000001,0.5722,0.9448000000000002,1.3606000000000003,2.6636,3.301,3.3492000000000006,3.370800000000001,3.4326000000000008,3.5144,3.6346000000000003,4.063400000000001,4.653600000000001,6.494800000000002,0.158,0.179,0.18720000000000003,0.20520000000000005,0.22620000000000004,0.26520000000000005,0.38560000000000016,0.49540000000000006,0.7556000000000004,0.03720000000000005,0.12060000000000012,0.1574000000000001,0.2064000000000001,0.287,0.3048000000000006,0.3540000000000002,0.377,30.378800000000215,Catchment
