GRID_NO,date,LATITUDE,LONGITUDE,ALTITUDE,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,WINDSPEED,VAPOURPRESSURE,PRECIPITATION,E0,ES0,ET0,RADIATION,YEAR,MONTH,DAY,SUNSHINE_CALC,HUMIDITY_06H,HUMIDITY_09H,HUMIDITY_12H,HUMIDITY_15H,HUMIDITY_18H,SNOWDEPTH
100106,01/01/1991,50.59354,8.82077,215,7,2.3,4.7,1.8,0.662,1,0.01,0,0.31,3248,1991,1,1,8,,,,,,
100106,02/01/1991,50.59354,8.82077,215,9.7,2.4,6.1,5.1,0.949,3.4,0.06,0.04,0.16,1994,1991,1,2,8,,,,,,
100106,03/01/1991,50.59354,8.82077,215,11.5,6.4,8.9,2.7,0.976,0,0.55,0.52,0.66,1357,1991,1,3,8,,,,,,
100106,04/01/1991,50.59354,8.82077,215,9.6,3.4,6.5,1.9,0.818,0.6,0.29,0.25,0.44,1953,1991,1,4,8,,,,,,
100106,05/01/1991,50.59354,8.82077,215,5.7,3.5,4.6,5.8,0.707,1.2,0.5,0.45,0.64,2180,1991,1,5,8,,,,,,
100106,06/01/1991,50.59354,8.82077,215,6.8,2.9,4.9,4.6,0.614,0.2,0.61,0.56,0.97,2817,1991,1,6,8,,,,,,
100106,07/01/1991,50.59354,8.82077,215,8.7,1.5,5.1,1.8,0.796,5.8,0.14,0.12,0.27,2619,1991,1,7,8,,,,,,
100106,08/01/1991,50.59354,8.82077,215,8.8,2.9,5.8,4.7,0.806,0.2,0.4,0.36,0.59,2112,1991,1,8,8,,,,,,
100106,09/01/1991,50.59354,8.82077,215,9.7,6.5,8.1,5.4,0.876,0,0.65,0.6,0.9,2428,1991,1,9,8,,,,,,
100106,10/01/1991,50.59354,8.82077,215,14.1,6.7,10.4,4.7,1.021,3.2,0.71,0.66,0.98,2166,1991,1,10,8,,,,,,
100106,11/01/1991,50.59354,8.82077,215,8.7,5.4,7.1,2.5,0.922,4,0.23,0.19,0.31,2068,1991,1,11,8,,,,,,
100106,12/01/1991,50.59354,8.82077,215,6.8,2.5,4.7,1.9,0.707,0.2,0.33,0.29,0.44,2022,1991,1,12,8,,,,,,
100106,13/01/1991,50.59354,8.82077,215,4.8,-0.4,2.2,2.4,0.605,0,0.06,0.04,0.33,3206,1991,1,13,8,,,,,,
100106,14/01/1991,50.59354,8.82077,215,2.3,-1.9,0.2,2.3,0.396,0,0.04,0,0.42,4340,1991,1,14,8,,,,,,
100106,15/01/1991,50.59354,8.82077,215,2.6,-3.3,-0.4,2.4,0.226,0,0.19,0.11,0.74,4868,1991,1,15,8,,,,,,
100106,16/01/1991,50.59354,8.82077,215,1.7,-5.2,-1.7,1.4,0.299,0,0.03,0,0.31,4824,1991,1,16,8,,,,,,
100106,17/01/1991,50.59354,8.82077,215,2.8,-4.7,-0.9,1.6,0.362,0,0,0,0.36,5055,1991,1,17,8,,,,,,
100106,18/01/1991,50.59354,8.82077,215,3,-5.9,-1.4,1.5,0.355,0,0.06,0.03,0.36,4658,1991,1,18,8,,,,,,
100106,19/01/1991,50.59354,8.82077,215,0.6,-4.9,-2.2,2.9,0.476,4.2,0.15,0.11,0.34,3161,1991,1,19,8,,,,,,
100106,20/01/1991,50.59354,8.82077,215,1.3,-1.4,-0.1,1.9,0.572,0,0.21,0.17,0.24,2103,1991,1,20,8,,,,,,
100106,21/01/1991,50.59354,8.82077,215,2.4,-1.1,0.7,2.3,0.67,2.8,0.21,0.19,0.17,1612,1991,1,21,8,,,,,,
100106,22/01/1991,50.59354,8.82077,215,5.5,1.4,3.4,1.1,0.653,0,0.12,0.09,0.25,3690,1991,1,22,8,,,,,,
100106,23/01/1991,50.59354,8.82077,215,2.5,0.7,1.6,1.1,0.547,0,0.35,0.31,0.38,2110,1991,1,23,8,,,,,,
100106,24/01/1991,50.59354,8.82077,215,1.3,-0.4,0.5,0.9,0.502,0,0.34,0.3,0.36,2068,1991,1,24,8,,,,,,
100106,25/01/1991,50.59354,8.82077,215,2.6,-2.1,0.3,0.8,0.54,0,0.14,0.1,0.25,3113,1991,1,25,8,,,,,,
100106,26/01/1991,50.59354,8.82077,215,0.8,-0.9,0,0.8,0.556,0,0.34,0.31,0.31,1475,1991,1,26,8,,,,,,
100106,27/01/1991,50.59354,8.82077,215,2.6,0.4,1.5,1.1,0.53,0,0.48,0.45,0.45,1652,1991,1,27,8,,,,,,
100106,28/01/1991,50.59354,8.82077,215,2.1,-1.6,0.3,0.9,0.466,0,0.24,0.18,0.33,3381,1991,1,28,8,,,,,,
100106,29/01/1991,50.59354,8.82077,215,0.9,-5.3,-2.2,0.9,0.469,0,0.13,0.08,0.23,3395,1991,1,29,8,,,,,,
100106,30/01/1991,50.59354,8.82077,215,1.6,-3.9,-1.1,1.4,0.425,0,0.27,0.2,0.39,3725,1991,1,30,8,,,,,,
100106,31/01/1991,50.59354,8.82077,215,1.1,-5.8,-2.4,1.1,0.291,0,0.03,0,0.34,6580,1991,1,31,8,,,,,,
100106,01/02/1991,50.59354,8.82077,215,0.4,-9.4,-4.5,0.9,0.225,0,0.04,0,0.31,6822,1991,2,1,8,,,,,,
100106,02/02/1991,50.59354,8.82077,215,-0.6,-10.1,-5.4,0.6,0.218,0,0.09,0.05,0.22,6540,1991,2,2,8,,,,,,
100106,03/02/1991,50.59354,8.82077,215,-1.1,-9.5,-5.3,0.8,0.27,0,0.19,0.14,0.31,4773,1991,2,3,8,,,,,,
